1,2,3,4,5,6,7,8,9,10e0.466666666666667
1-2,3,4,5,6,7,8,9,10e0.4
1-2-3,4,5,6,7,8,9,10e0.4
1-2,4,5,6,7,8,9,10-3e0.4
1-2,3-4,5,6,7,8,9,10e0.4
1-2,3,5,6,7,8,9,10-4e0.4
1-2,4-3,5,6,7,8,9,10e0.4
1-2,5,6,7,8,9,10-3,4e0.4
1-2,3,4-5,6,7,8,9,10e0.4
1-2,3,4,6,7,8,9,10-5e0.466666666666667
1-2,5-3,4,6,7,8,9,10e0.4
1-2,4,6,7,8,9,10-3,5e0.4
1-2,3,5-4,6,7,8,9,10e0.4
1-2,3,6,7,8,9,10-4,5e0.4
1-2,4,5-3,6,7,8,9,10e0.4
1-2,6,7,8,9,10-3,4,5e0.4
1-2,3,4,5-6,7,8,9,10e0.4
1-2,3,4,5,7,8,9,10-6e0.466666666666667
1-2,6-3,4,5,7,8,9,10e0.4
1-2,4,5,7,8,9,10-3,6e0.4
1-2,3,6-4,5,7,8,9,10e0.4
1-2,3,5,7,8,9,10-4,6e0.4
1-2,4,6-3,5,7,8,9,10e0.4
1-2,5,7,8,9,10-3,4,6e0.4
1-2,3,4,6-5,7,8,9,10e0.4
1-2,3,4,7,8,9,10-5,6e0.533333333333333
1-2,5,6-3,4,7,8,9,10e0.4
1-2,4,7,8,9,10-3,5,6e0.533333333333333
1-2,3,5,6-4,7,8,9,10e0.4
1-2,3,7,8,9,10-4,5,6e0.466666666666667
1-2,4,5,6-3,7,8,9,10e0.4
1-2,7,8,9,10-3,4,5,6e0.466666666666667
1-2,3,4,5,6-7,8,9,10e0.4
1-2,3,4,5,6,8,9,10-7e0.4
1-2,7-3,4,5,6,8,9,10e0.4
1-2,4,5,6,8,9,10-3,7e0.4
1-2,3,7-4,5,6,8,9,10e0.4
1-2,3,5,6,8,9,10-4,7e0.4
1-2,4,7-3,5,6,8,9,10e0.4
1-2,5,6,8,9,10-3,4,7e0.4
1-2,3,4,7-5,6,8,9,10e0.4
1-2,3,4,6,8,9,10-5,7e0.4
1-2,5,7-3,4,6,8,9,10e0.4
1-2,4,6,8,9,10-3,5,7e0.4
1-2,3,5,7-4,6,8,9,10e0.4
1-2,3,6,8,9,10-4,5,7e0.4
1-2,4,5,7-3,6,8,9,10e0.4
1-2,6,8,9,10-3,4,5,7e0.4
1-2,3,4,5,7-6,8,9,10e0.4
1-2,3,4,5,8,9,10-6,7e0.4
1-2,6,7-3,4,5,8,9,10e0.4
1-2,4,5,8,9,10-3,6,7e0.4
1-2,3,6,7-4,5,8,9,10e0.4
1-2,3,5,8,9,10-4,6,7e0.4
1-2,4,6,7-3,5,8,9,10e0.4
1-2,5,8,9,10-3,4,6,7e0.4
1-2,3,4,6,7-5,8,9,10e0.4
1-2,3,4,8,9,10-5,6,7e0.4
1-2,5,6,7-3,4,8,9,10e0.4
1-2,4,8,9,10-3,5,6,7e0.4
1-2,3,5,6,7-4,8,9,10e0.4
1-2,3,8,9,10-4,5,6,7e0.4
1-2,4,5,6,7-3,8,9,10e0.4
1-2,8,9,10-3,4,5,6,7e0.4
1-2,3,4,5,6,7-8,9,10e0.4
1-2,3,4,5,6,7,9,10-8e0.4
1-2,8-3,4,5,6,7,9,10e0.4
1-2,4,5,6,7,9,10-3,8e0.4
1-2,3,8-4,5,6,7,9,10e0.4
1-2,3,5,6,7,9,10-4,8e0.4
1-2,4,8-3,5,6,7,9,10e0.4
1-2,5,6,7,9,10-3,4,8e0.4
1-2,3,4,8-5,6,7,9,10e0.4
1-2,3,4,6,7,9,10-5,8e0.6
1-2,5,8-3,4,6,7,9,10e0.4
1-2,4,6,7,9,10-3,5,8e0.4
1-2,3,5,8-4,6,7,9,10e0.4
1-2,3,6,7,9,10-4,5,8e0.533333333333333
1-2,4,5,8-3,6,7,9,10e0.4
1-2,6,7,9,10-3,4,5,8e0.4
1-2,3,4,5,8-6,7,9,10e0.4
1-2,3,4,5,7,9,10-6,8e0.6
1-2,6,8-3,4,5,7,9,10e0.4
1-2,4,5,7,9,10-3,6,8e0.4
1-2,3,6,8-4,5,7,9,10e0.4
1-2,3,5,7,9,10-4,6,8e0.533333333333333
1-2,4,6,8-3,5,7,9,10e0.4
1-2,5,7,9,10-3,4,6,8e0.4
1-2,3,4,6,8-5,7,9,10e0.4
1-2,3,4,7,9,10-5,6,8e0.666666666666667
1-2,5,6,8-3,4,7,9,10e0.4
1-2,4,7,9,10-3,5,6,8e0.666666666666667
1-2,3,5,6,8-4,7,9,10e0.4
1-2,3,7,9,10-4,5,6,8e0.6
1-2,4,5,6,8-3,7,9,10e0.4
1-2,7,9,10-3,4,5,6,8e0.6
1-2,3,4,5,6,8-7,9,10e0.4
1-2,3,4,5,6,9,10-7,8e0.4
1-2,7,8-3,4,5,6,9,10e0.4
1-2,4,5,6,9,10-3,7,8e0.4
1-2,3,7,8-4,5,6,9,10e0.4
1-2,3,5,6,9,10-4,7,8e0.4
1-2,4,7,8-3,5,6,9,10e0.4
1-2,5,6,9,10-3,4,7,8e0.4
1-2,3,4,7,8-5,6,9,10e0.4
1-2,3,4,6,9,10-5,7,8e0.4
1-2,5,7,8-3,4,6,9,10e0.4
1-2,4,6,9,10-3,5,7,8e0.4
1-2,3,5,7,8-4,6,9,10e0.4
1-2,3,6,9,10-4,5,7,8e0.4
1-2,4,5,7,8-3,6,9,10e0.4
1-2,6,9,10-3,4,5,7,8e0.4
1-2,3,4,5,7,8-6,9,10e0.4
1-2,3,4,5,9,10-6,7,8e0.4
1-2,6,7,8-3,4,5,9,10e0.4
1-2,4,5,9,10-3,6,7,8e0.4
1-2,3,6,7,8-4,5,9,10e0.4
1-2,3,5,9,10-4,6,7,8e0.4
1-2,4,6,7,8-3,5,9,10e0.4
1-2,5,9,10-3,4,6,7,8e0.4
1-2,3,4,6,7,8-5,9,10e0.4
1-2,3,4,9,10-5,6,7,8e0.4
1-2,5,6,7,8-3,4,9,10e0.4
1-2,4,9,10-3,5,6,7,8e0.4
1-2,3,5,6,7,8-4,9,10e0.4
1-2,3,9,10-4,5,6,7,8e0.4
1-2,4,5,6,7,8-3,9,10e0.4
